time,rule,magic,signal_id,dir,ref_entry,close_price,pips,closed_count,profit_usd,hold_min,remain,reason
2026.09.09 13:49:38,E,600004,-1004472107780_2246,BUY,4394.72,4399.56,48.4,2,9.58,5.5,1,E:1.1倍水準到達
2026.09.09 13:54:42,I,600008,-1004472107780_2246,BUY,4394.68,4402.19,75.1,2,14.33,10.8,2,I:TP1(半数)
2026.09.09 13:54:45,R,600017,-1004472107780_2246,BUY,4394.73,4402.25,75.2,2,14.39,10.7,1,R:半数決済
2026.09.09 13:55:09,G,600006,-1004472107780_2246,BUY,4394.45,4402.64,81.9,1,7.56,11.2,1,G:2段目(+80p)
2026.09.09 13:55:09,U,600020,-1004472107780_2237,BUY,4387.50,4402.64,151.4,2,27.87,55.4,2,U:半数決済
2026.09.09 13:55:58,T,600019,-1004472107780_2246,BUY,4395.10,4403.23,81.3,2,16.09,12.0,1,T:半数決済
2026.09.09 14:02:01,E,600004,-1004472107780_2246,BUY,4394.72,4403.51,87.9,1,8.60,17.6,0,E:2.0倍水準到達
2026.09.09 14:10:22,S,600018,-1004472107780_2246,BUY,4394.54,4404.64,101.0,2,19.61,26.5,2,S:1段目
2026.09.09 14:10:23,P,600015,-1004472107780_2246,BUY,4394.45,4404.64,101.9,2,18.79,26.6,2,P:半数決済
2026.09.09 14:10:23,H,600007,-1004472107780_2246,BUY,4394.45,4404.64,101.9,0,0.00,0.0,2,H:建値移動(決済なし)
2026.09.09 14:16:45,F,600005,-1004472107780_2253,BUY,4401.48,4403.48,20.0,4,-0.70,2.6,4,F:半数決済(+20p)
2026.09.09 14:24:24,H,600007,-1004472107780_2253,BUY,4401.48,4405.48,40.0,4,7.67,10.4,4,H:TP1到達
2026.09.09 14:24:29,M,600012,-1004472107780_2253,BUY,4401.48,4405.48,40.0,4,5.56,10.6,4,C:TP1到達
2026.09.09 14:24:34,C,600002,-1004472107780_2253,BUY,4401.48,4405.48,40.0,4,6.88,10.6,4,C:TP1到達
2026.09.09 14:24:38,J,600009,-1004472107780_2253,BUY,4401.48,4405.48,40.0,4,8.08,10.4,4,J:TP1到達
2026.09.09 14:24:41,G,600006,-1004472107780_2253,BUY,4401.48,4405.48,40.0,3,5.25,10.3,5,G:1段目(+40p)
2026.09.09 14:25:03,E,600004,-1004472107780_2253,BUY,4401.48,4406.27,47.9,0,0.00,0.0,8,E:建値移動(決済なし)
